section,title,tag_type,description,phone1_label,phone1_number,phone2_label,phone2_number,link1_label,link1_url,link2_label,link2_url,link3_label,link3_url,tags
mental-health,VA Military Sexual Trauma (MST) Support,federal,"Every VA medical center has a free MST coordinator. Free mental health treatment for veterans who experienced MST — no VA enrollment required.",,,,,MST Information,https://www.mentalhealth.va.gov/msthome/,Find an MST Coordinator,https://www.va.gov/find-locations/,,,MST sexual trauma women veterans VA
mental-health,Headstrong Project,nonprofit,"Free stigma-free mental health treatment for post-9/11 veterans and their families through a network of 500+ licensed therapists nationwide.",,,,,Apply for Free Treatment,https://getheadstrong.org/veterans/,How Headstrong Works,https://getheadstrong.org/,,,mental health therapy free post-9/11 nonprofit
mental-health,Team Red White & Blue,nonprofit,"Connects veterans to community through physical and social activities — running, cycling, yoga, and local chapter events nationwide.",,,,,Find Your Local Chapter,https://www.teamrwb.org/find-your-chapter/,Join Team RWB,https://www.teamrwb.org/,,,community fitness wellness recreation veteran
mental-health,Cohen Veterans Network,nonprofit,"Network of 25+ nonprofit mental health clinics across the U.S. providing high-quality, accessible care to post-9/11 veterans and their families.",,,,,Find a Cohen Clinic Near You,https://www.cohenveteransnetwork.org/clinics/,About Cohen Veterans Network,https://www.cohenveteransnetwork.org/,,,mental health clinic post-9/11 therapy counseling
mental-health,Boulder Crest Foundation — PATHH Program,nonprofit,"Posttraumatic Growth program for combat veterans and first responders. Free residential and community-based wellness retreats at no cost.",,,,,Apply for PATHH Program,https://bouldercrest.org/programs/pathh/,Learn About Boulder Crest,https://bouldercrest.org/,,,PTSD posttraumatic growth wellness retreat program
mental-health,Stop Soldier Suicide,nonprofit,"Personalized case management and connection to resources for veterans at risk of suicide. Free, confidential, trauma-informed support.",,,,,Get Help Now,https://stopsoldiersuicide.org/get-help,About the Mission,https://stopsoldiersuicide.org/,,,suicide prevention crisis mental health veteran
mental-health,Veterans Yoga Project,nonprofit,"Free and donation-based mindfulness and yoga programs specifically designed to support veterans in recovering from stress, trauma, and PTSD.",,,,,Find a Free Class,https://www.veteransyogaproject.org/find-a-class/,Mindful Resilience Program,https://www.veteransyogaproject.org/mindful-resilience/,,,yoga mindfulness PTSD stress wellness veteran
mental-health,22KILL — Mental Health Advocacy,nonprofit,"Raises awareness about veteran suicide and promotes mental health help-seeking. Peer-to-peer support network with online community resources.",,,,,Get Peer Support,https://www.22kill.com/get-help/,Join the Community,https://www.22kill.com/,,,suicide prevention awareness community peer support
mental-health,Vets4Warriors — Peer Support,nonprofit,"Free 24/7 peer support for veterans, service members, and their families from fellow veterans. Confidential, compassionate, and knowledgeable.",Call,1-855-838-8255,,,"Learn About Vets4Warriors",https://www.vets4warriors.com/,,,peer support confidential 24/7 community veteran
mental-health,VA Whole Health Program,federal,"VA's holistic approach to care — focuses on what matters most to veterans: physical, mental, and spiritual well-being beyond traditional sick care.",,,,,What Is Whole Health?,https://www.va.gov/wholehealth/,Whole Health Benefits,https://www.va.gov/wholehealth/Veteran/benefits.asp,,,whole health holistic wellness integrative VA
mental-health,Centerstone Military Services,nonprofit,"Behavioral health treatment for veterans, service members, and their families through community-based clinics in multiple states.",,,,,Find Treatment Near You,https://centerstone.org/our-services/military-behavioral-health/,About Centerstone,https://centerstone.org/,,,mental health therapy counseling behavioral health military
mental-health,Mission Continues — Community,nonprofit,"Connects veterans to volunteer service opportunities that leverage their skills. Community and purpose-driven activities support mental wellness.",,,,,Find a Fellowship or Platoon,https://missioncontinues.org/programs/,About Mission Continues,https://missioncontinues.org/,,,community volunteer purpose mental wellness veteran
mental-health,Psych Hub Veterans Resources,nonprofit,"Free mental health education videos and guides specifically created for veterans, covering PTSD, depression, anxiety, and seeking help.",,,,,Veterans Mental Health Library,https://psychhub.com/topics/veteran-military-mental-health/,,,,,mental health education video PTSD depression awareness
va-benefits,VA Disability Compensation,federal,"Monthly tax-free payments for veterans with service-connected disabilities. File online, by mail, or in person with free VSO assistance.",,,,,How to File a Claim,https://www.va.gov/disability/how-to-file-claim/,Check Your Eligibility,https://www.va.gov/disability/eligibility/,Appeal or Review a Decision,https://www.va.gov/decision-reviews/,disability compensation service-connected rating
va-benefits,Free VSO Claim Assistance,nonprofit,"Accredited VSOs (DAV, VFW, American Legion, AMVETS) provide completely free help filing and appealing VA claims — at no charge to you.",,,,,Find an Accredited VSO,https://www.va.gov/get-help-from-accredited-representative/,DAV Claim Assistance,https://www.dav.org/veterans/va-claim-assistance/,VFW Benefits Assistance,https://www.vfw.org/assistance/va-claims-separation-benefits,VSO claims help free representative appeal
va-benefits,VA Pension & Survivor Benefits,federal,"Need-based pension for wartime veterans with limited income, plus Dependency and Indemnity Compensation (DIC) for surviving family members.",,,,,VA Pension Overview,https://www.va.gov/pension/,How to Apply for Pension,https://www.va.gov/pension/how-to-apply/,Survivors & DIC Benefits,https://www.va.gov/burials-memorials/dependency-indemnity-compensation/,pension survivor DIC wartime income
va-benefits,VA Life Insurance (SGLI & VGLI),federal,"Servicemembers' Group Life Insurance (SGLI) and Veterans' Group Life Insurance (VGLI). Must convert within 1 year 120 days of separation.",,,,,Life Insurance Options,https://www.va.gov/life-insurance/,Apply for VGLI,https://www.va.gov/life-insurance/options-eligibility/vgli/,TSGLI Traumatic Injury,https://www.va.gov/life-insurance/options-eligibility/tsgli/,life insurance SGLI VGLI TSGLI separation
va-benefits,Military Service Records & DD-214,federal,"Request your DD-214, medical records, and official military personnel records. Note 'Expedite — VA claim' for urgent requests.",,,,,Request via eVetRecs (NARA),https://www.archives.gov/veterans/military-service-records,Request via VA.gov,https://www.va.gov/records/get-military-service-records/,,,DD-214 records discharge separation military
va-benefits,Burial & Memorial Benefits,federal,"Eligible veterans may receive burial in a national cemetery, grave markers, burial allowances, and Presidential Memorial Certificates.",,,,,Burial Benefits Overview,https://www.va.gov/burials-memorials/,Find a National Cemetery,https://www.cem.va.gov/,Presidential Memorial Certificates,https://www.va.gov/burials-memorials/memorial-items/presidential-memorial-certificates/,burial cemetery memorial honors
va-benefits,PACT Act — Burn Pit & Toxic Exposure,federal,"The PACT Act expands VA benefits eligibility for veterans exposed to burn pits, Agent Orange, and other toxic substances. File now.",,,,,What the PACT Act Covers,https://www.va.gov/resources/the-pact-act-and-your-va-benefits/,File a PACT Act Claim,https://www.va.gov/disability/how-to-file-claim/,Check Your Eligibility,https://www.va.gov/pact-act/,burn pit toxic exposure PACT Act Camp Lejeune Agent Orange
va-benefits,Aid & Attendance / Housebound,federal,"Enhanced pension benefit for veterans who need help with daily activities or are largely confined to home. Can add $1,000+ per month.",,,,,Aid & Attendance Overview,https://www.va.gov/pension/aid-attendance-housebound/,How to Apply,https://www.va.gov/pension/how-to-apply/,,,Aid Attendance housebound pension elderly disability caregiver
va-benefits,Individual Unemployability (TDIU),federal,"If a service-connected disability prevents you from holding substantially gainful employment, you may receive compensation at the 100% rate.",,,,,TDIU Overview,https://www.va.gov/disability/compensation-rates/veteran-rates/,How to File for IU,https://www.va.gov/disability/how-to-file-claim/,,,unemployability TDIU IU 100% compensation work disability
va-benefits,Agent Orange & Toxic Exposure Registry,federal,"Free VA health exam for veterans exposed to Agent Orange, burn pits, radiation, contaminated water (Camp Lejeune), and other hazards.",,,,,Agent Orange Registry,https://www.va.gov/disability/eligibility/hazardous-materials-exposure/agent-orange/,Camp Lejeune Water,https://www.va.gov/disability/eligibility/hazardous-materials-exposure/camp-lejeune-water-contamination/,Toxic Exposures Overview,https://www.va.gov/disability/eligibility/hazardous-materials-exposure/,Agent Orange Camp Lejeune toxic exposure registry exam
va-benefits,CHAMPVA — Family Health Coverage,federal,"Comprehensive health coverage for spouses and children of veterans who are permanently and totally disabled or died in the line of duty.",,,,,CHAMPVA Overview,https://www.va.gov/health-care/family-caregiver-benefits/champva/,CHAMPVA Application,https://www.va.gov/health-care/family-caregiver-benefits/champva/#how-do-i-apply,,,CHAMPVA family health insurance spouse children dependent
va-benefits,VA Clothing Allowance,federal,"Annual clothing allowance for veterans whose service-connected disability or prosthetic equipment damages or tears their clothing.",,,,,Clothing Allowance Info,https://www.va.gov/disability/eligibility/special-claims/clothing-allowance/,How to Apply,https://www.va.gov/disability/eligibility/special-claims/clothing-allowance/#how-do-i-apply,,,clothing allowance prosthetics disability special claims
va-benefits,Adaptive Equipment & Vehicle Grants,federal,"Up to $22,295 for adaptive equipment on a vehicle, and up to $12,000 toward the purchase of a vehicle, for eligible disabled veterans.",,,,,Adaptive Equipment Grant,https://www.va.gov/disability/eligibility/special-claims/automobile-allowance-adaptive-equipment/,,,,,vehicle grant adaptive equipment disability mobility
healthcare,VA Health Care Enrollment,federal,"Most veterans qualify for free or low-cost VA health care. Enroll online in minutes. Priority groups determine copay amounts.",,,,,Apply Online Now,https://www.va.gov/health-care/apply/application/introduction,Check Your Eligibility,https://www.va.gov/health-care/eligibility/,Find a VA Medical Center,https://www.va.gov/find-locations/,healthcare enrollment primary care VA
healthcare,VA Community Care Network,federal,"When VA can't provide timely care, eligible veterans can receive care from approved community providers paid by VA (MISSION Act).",,,,,Community Care Overview,https://www.va.gov/communitycare/,Find Approved Community Providers,https://www.va.gov/find-locations/?facilityType=cc_provider,,,community care non-VA providers MISSION Act
healthcare,Women Veterans Health Care,federal,"Comprehensive care for women veterans including primary care, reproductive health, maternity care, and gender-specific services at every VA.",,,,,Women's Health Hub,https://www.womenshealth.va.gov/,Find a Women's Health VA,https://www.va.gov/find-locations/,,,women veterans healthcare reproductive maternity
healthcare,VA Dental & Vision Care,federal,"Dental eligibility is limited — 100% service-connected veterans qualify for full dental. Vision care and hearing aids are also available.",,,,,Dental Care Eligibility,https://www.va.gov/health-care/about-va-health-benefits/dental-care/,Vision Care Info,https://www.va.gov/health-care/about-va-health-benefits/vision-care/,,,dental vision hearing aids eligibility
healthcare,VA Pharmacy & MyHealtheVet,federal,"Refill prescriptions by mail, view health records, and message your VA care team online through the MyHealtheVet patient portal.",,,,,Log In to MyHealtheVet,https://www.myhealth.va.gov/,Prescription Refills,https://www.myhealth.va.gov/mhv-portal-web/pharmacy,,,pharmacy prescriptions medication refills portal
healthcare,Family Caregiver Program (PCAFC),federal,"Financial stipend, health insurance, respite care, and other services for family caregivers of eligible post-9/11 veterans.",,,,,PCAFC Program Overview,https://www.va.gov/family-member-benefits/comprehensive-assistance-for-family-caregivers/,How to Apply for PCAFC,https://www.va.gov/family-member-benefits/comprehensive-assistance-for-family-caregivers/#how-to-apply,,,caregiver family support stipend healthcare
healthcare,VA Vet Centers — Readjustment Counseling,federal,"Community-based counseling for combat veterans and MST survivors. Walk-in friendly, no VA enrollment needed. 300+ locations nationwide.",,,,,Find a Vet Center,https://www.vetcenter.va.gov/,What Vet Centers Offer,https://www.va.gov/find-locations/?facilityType=vet_center,,,Vet Center readjustment counseling community walk-in MST
healthcare,TRICARE — Active Duty & Retiree Coverage,federal,"TRICARE provides health coverage for active duty service members, military retirees, and their families worldwide through military treatment facilities and civilian providers.",,,,,TRICARE Plans & Eligibility,https://www.tricare.mil/Plans,Find a TRICARE Provider,https://www.tricare.mil/FindDoctor,TRICARE for Life (retirees),https://www.tricare.mil/Plans/SupplementalPlans/TFL,TRICARE active duty retiree health coverage
healthcare,VA Prosthetics & Sensory Aids,federal,"VA provides prosthetic limbs, orthopedic braces, hearing aids, vision aids, wheelchairs, and other devices for eligible veterans at no cost.",,,,,Prosthetics Service Info,https://www.va.gov/health-care/about-va-health-benefits/prosthetic-care/,Apply for Prosthetic Devices,https://www.va.gov/health-care/apply/,,,prosthetics hearing aid wheelchair brace limb amputation
healthcare,MOVE! — VA Weight Management,federal,"VA's free weight management program includes in-person groups, telehealth, apps, and online tools designed specifically for veterans.",,,,,MOVE! Program Overview,https://move.va.gov/,,,,,weight loss obesity health wellness fitness VA
healthcare,VA Blind & Low Vision Rehabilitation,federal,"Comprehensive rehabilitation services for veterans with visual impairments, including orientation, mobility training, and adaptive technology.",,,,,Visual Impairment Services,https://www.va.gov/health-care/about-va-health-benefits/blind-low-vision-rehab/,Find a Blind Rehab Center,https://www.va.gov/find-locations/?facilityType=health,,,blind low vision rehabilitation visual impairment
healthcare,Fisher House Foundation — Family Lodging,nonprofit,"Fisher Houses provide free or low-cost lodging at VA and military medical centers for families of veterans receiving treatment far from home.",,,,,Find a Fisher House Near You,https://www.fisherhouse.org/programs/fisher-houses/find-a-fisher-house/,Apply for a Stay,https://www.fisherhouse.org/programs/fisher-houses/,,,lodging lodging family travel medical treatment VA
healthcare,Mobile Vet Centers,federal,"VA Mobile Vet Centers bring mental health and readjustment services directly to rural and underserved communities nationwide.",,,,,Find a Mobile Vet Center,https://www.va.gov/find-locations/?facilityType=mobileVetCenter,,,,,rural mobile mental health outreach veteran
housing,VA Home Loan Guarantee,federal,"No down payment required, no PMI, competitive interest rates. Available for home purchase, IRRRL refinance, and cash-out refinance.",,,,,Learn About VA Loans,https://www.va.gov/housing-assistance/home-loans/,Get Your Certificate of Eligibility,https://www.va.gov/housing-assistance/home-loans/how-to-request-coe/,Loan Limits by County,https://www.benefits.va.gov/homeloans/purchaseco_loan_limits.asp,home loan mortgage purchase refinance no down payment
housing,HUD-VASH Housing Vouchers,federal,"Housing Choice Vouchers plus VA case management for the most vulnerable homeless veterans. Contact your local VA to get enrolled.",,,,,HUD-VASH Overview,https://www.va.gov/homeless/hud-vash.asp,Find Your Local VA,https://www.va.gov/find-locations/?facilityType=health,HUD Official Info,https://www.hud.gov/program_offices/public_indian_housing/programs/hcv/vash,homeless voucher housing subsidy section-8
housing,SSVF — Rapid Rehousing & Prevention,federal,"VA-funded grants for rapid rehousing and homelessness prevention administered through community nonprofits in all 50 states.",,,,,SSVF Program Overview,https://www.va.gov/homeless/ssvf/,Find an SSVF Provider Near You,https://www.ssvf.va.gov/FindProviderMap/,,,homeless prevention rapid rehousing SSVF grant
housing,Specially Adapted Housing (SAH) Grants,federal,"Grants up to $117,014 (FY2025) to help veterans with severe service-connected disabilities build or modify a home for accessibility.",,,,,SAH Grant Overview,https://www.va.gov/housing-assistance/disability-housing-grants/,How to Apply for SAH,https://www.va.gov/housing-assistance/disability-housing-grants/how-to-apply/,,,adapted housing disability wheelchair accessibility grant
housing,National Coalition for Homeless Veterans,nonprofit,"Directory of community-based providers offering emergency shelter, transitional housing, and permanent supportive housing for veterans.",,,,,Find Local Help & Shelter,https://nchv.org/find-help/,NCHV Home,https://nchv.org/,,,homeless shelter transitional housing emergency nonprofit
housing,Habitat for Humanity Veterans Build,nonprofit,"Home repair and rebuilding programs for veterans and military families through local Habitat affiliates and volunteer projects nationwide.",,,,,Find a Veterans Build Program,https://www.habitat.org/volunteer/near-you/veterans-build,Habitat for Humanity Home,https://www.habitat.org/,,,housing repair rebuild Habitat volunteer nonprofit
housing,Homes for Our Troops,nonprofit,"Builds and donates specially adapted custom homes for severely injured post-9/11 veterans, at no cost to the veteran.",,,,,Apply for a Home,https://www.hfotusa.org/apply/,Learn About the Program,https://www.hfotusa.org/,,,adapted home build donate seriously injured post-9/11 free
housing,Operation Homefront,nonprofit,"Provides critical financial assistance, transitional and permanent housing, and family support programs for military families in need.",,,,,Get Housing Help,https://www.operationhomefront.org/find-help/,About Operation Homefront,https://www.operationhomefront.org/,,,housing financial assistance family military transition
housing,Gary Sinise Foundation — Smart Homes,nonprofit,"Builds custom smart homes for the most severely wounded veterans — specially adapted for individual needs at no cost to the veteran.",,,,,R.I.S.E. Program,https://www.garysinisefoundation.org/programs/rise/,Learn More,https://www.garysinisefoundation.org/,,,smart home custom build severely wounded amputee
housing,Purple Heart Homes,nonprofit,"Provides safety modifications, accessibility improvements, and housing solutions for service-connected disabled veterans.",,,,,Apply for a Project,https://www.purplehearthomesusa.org/apply/,About Purple Heart Homes,https://www.purplehearthomesusa.org/,,,home modification accessibility safety disabled veteran
housing,U.S. Vets,nonprofit,"One of the largest providers of comprehensive services to homeless and at-risk veterans — transitional housing, employment, and mental health.",,,,,Find a Location,https://www.usvetsinc.org/locations/,About U.S. Vets,https://www.usvetsinc.org/,,,transitional housing homeless veteran comprehensive services
housing,Volunteers of America Veterans Housing,nonprofit,"Emergency shelter, transitional housing, and long-term supportive housing for homeless veterans at Volunteers of America programs nationwide.",,,,,Find Veteran Services Near You,https://www.voa.org/veterans,About VOA,https://www.voa.org/,,,homeless shelter transitional supportive housing veteran nonprofit
employment,American Job Centers (CareerOneStop),federal,"Federally funded workforce centers with priority service for veterans — free resume help, job search tools, training, and career counseling.",,,,,Find Your Nearest Job Center,https://www.careeronestop.org/LocalHelp/AmericanJobCenters/find-american-job-centers.aspx,Veterans Employment Resources,https://www.careeronestop.org/Veterans/default.aspx,,,job search career resume training workforce center
employment,DOL VETS & Transition Assistance (TAP),federal,"Department of Labor prepares separating service members for civilian employment through the Transition Assistance Program (TAP).",,,,,TAP Program Info,https://www.dol.gov/agencies/vets/programs/tap,DOL VETS Home,https://www.dol.gov/agencies/vets,,,transition TAP employment separation military
employment,USAJOBS — Federal Hiring Preference,federal,"Veterans receive 5 or 10-point hiring preference for federal government jobs. Use the Veterans' Preference Advisor to find your level.",,,,,Search Federal Jobs,https://www.usajobs.gov/Veterans/,Veterans' Preference Advisor,https://webapps.dol.gov/elaws/vetspref.htm,,,federal jobs USAJOBS hiring preference government
employment,VA Vocational Rehabilitation (VR&E),federal,"Chapter 31 — job training, education, employment accommodations, and independent living support for veterans with service-connected disabilities.",,,,,VR&E Program Overview,https://www.va.gov/careers-employment/vocational-rehabilitation/,Apply for VR&E Benefits,https://www.va.gov/careers-employment/vocational-rehabilitation/how-to-apply/,,,vocational rehabilitation training employment disability Chapter 31
employment,SBA Boots to Business,federal,"Free entrepreneurship training and business planning courses for transitioning service members, veterans, and military spouses nationwide.",,,,,Register for a Course,https://sbavets.force.com/s/,Find a Small Business Development Center,https://americassbdc.org/find-your-sbdc/,,,small business entrepreneurship startup SBA veteran
employment,Hire Heroes USA,nonprofit,"Free personalized job search assistance — resume writing, interview coaching, LinkedIn optimization, and direct employer referrals.",,,,,Get Started — Veterans,https://www.hireheroesusa.org/veterans/,Get Started — Spouses,https://www.hireheroesusa.org/military-spouses/,,,job search resume interview hiring spouses nonprofit
employment,American Corporate Partners (ACP),nonprofit,"Year-long career mentoring program pairing veterans with business professionals from top U.S. companies for guidance and networking.",,,,,Apply as a Mentee,https://www.acp-usa.org/mentee-application,About ACP,https://www.acp-usa.org/,,,mentoring career guidance corporate business networking
employment,VetsinTech,nonprofit,"Free technical training, certifications, hackathons, and job placement in the technology sector for veterans and their spouses.",,,,,Apply to Programs,https://vetsintech.co/apply/,Upcoming Events & Programs,https://vetsintech.co/,,,technology tech bootcamp certification careers STEM
employment,RecruitMilitary — Job Board,nonprofit,"Connects veterans with veteran-friendly employers through job fairs, an online job board, and a veteran talent network.",,,,,Search Veteran Jobs,https://recruitmilitary.com/veterans,Find a Veteran Job Fair,https://recruitmilitary.com/events,,,job board hiring veteran employer career fair
employment,LinkedIn for Veterans — Free Premium,nonprofit,"LinkedIn gives veterans and military spouses one free year of LinkedIn Premium, plus LinkedIn Learning to build in-demand skills.",,,,,Apply for Free Premium,https://socialimpact.linkedin.com/programs/veterans,Browse LinkedIn Learning,https://www.linkedin.com/learning/,,,LinkedIn networking professional career premium learning
employment,Microsoft Software & Systems Academy,nonprofit,"Free 16-week technology training program for transitioning active duty service members, preparing them for in-demand Microsoft roles.",,,,,Apply for MSSA,https://military.microsoft.com/programs/microsoft-software-systems-academy/,About the Program,https://military.microsoft.com/,,,Microsoft technology training software systems career transition
employment,SCORE — Veterans Mentoring,nonprofit,"SCORE connects veteran entrepreneurs with experienced business mentors for free one-on-one business advice, workshops, and resources.",,,,,Find a SCORE Mentor,https://www.score.org/content/find-mentor,Veterans Business Resources,https://www.score.org/resource/veterans,,,small business mentoring entrepreneurship free SCORE veteran
employment,Veterans Business Outreach Centers (VBOC),federal,"SBA-funded centers providing free business training, counseling, and market research assistance to veteran entrepreneurs and military spouses.",,,,,Find a VBOC Near You,https://www.sba.gov/offices/headquarters/ovbd/resources/164603,About VBOCs,https://www.sba.gov/business-guide/grow-your-business/veteran-owned-businesses,,,small business counseling veteran entrepreneur startup SBA
employment,ReBootWorkshop — Women Veterans,nonprofit,"Intensive career transition programs for women veterans and military spouses — corporate skills training, networking, and job placement.",,,,,Apply for a Program,https://rebootworkshop.org/apply/,About ReBootWorkshop,https://rebootworkshop.org/,,,women veterans career transition corporate skills training
employment,Onward to Opportunity (O2O),nonprofit,"Free career training and job placement for transitioning service members, veterans, and military spouses through Syracuse University's IVMF.",,,,,Apply for O2O,https://ivmf.syracuse.edu/programs/career-training-employment/,Explore IVMF Programs,https://ivmf.syracuse.edu/,,,career training job placement transition military spouse
employment,ClearanceJobs — Security Clearance Careers,nonprofit,"Job board specifically for cleared professionals — thousands of jobs requiring active security clearances from defense and intel employers.",,,,,Search Cleared Jobs,https://www.clearancejobs.com/,Create a Free Profile,https://www.clearancejobs.com/create-account,,,security clearance defense intelligence government jobs
employment,Amazon Military Programs,nonprofit,"Amazon actively recruits veterans and military spouses across roles including technology, operations, and leadership. Free training programs available.",,,,,Amazon Military Jobs,https://www.amazon.jobs/en/landing_pages/mil,Military Resources,https://www.aboutamazon.com/news/workplace/amazon-military,,,Amazon hiring corporate technology operations career
education,Post-9/11 GI Bill (Chapter 33),federal,"Up to 36 months of education benefits — covers tuition and fees, monthly housing allowance at BAH rate, and up to $1,000/year for books.",,,,,GI Bill Details & Rates,https://www.va.gov/education/about-gi-bill-benefits/post-9-11/,Apply Online (Form 22-1990),https://www.va.gov/education/how-to-apply/,Compare Schools with GI Bill,https://www.va.gov/education/gi-bill-comparison-tool/,GI Bill education tuition housing allowance books
education,Montgomery GI Bill (Chapter 30 & 1606),federal,"Active duty (Ch. 30) and Selected Reserve (Ch. 1606) education benefits covering college, vocational training, and online programs.",,,,,Active Duty (Chapter 30),https://www.va.gov/education/about-gi-bill-benefits/montgomery-active-duty/,Selected Reserve (Chapter 1606),https://www.va.gov/education/about-gi-bill-benefits/montgomery-selected-reserve/,Apply Online,https://www.va.gov/education/how-to-apply/,MGIB Montgomery education reserve active duty
education,Fry Scholarship & DEA (Chapter 35),federal,"Education benefits for children and spouses of veterans who died in the line of duty or have a permanent total service-connected disability.",,,,,Fry Scholarship Details,https://www.va.gov/education/survivor-dependent-benefits/fry-scholarship/,Dependents' Education Assistance (Ch. 35),https://www.va.gov/education/survivor-dependent-benefits/dependents-education-assistance/,Apply Online,https://www.va.gov/education/how-to-apply/,Fry scholarship dependents survivors education spouse children
